time,Y,X,LAPrec1901
1905-01-01,2725000.0,4260000.0,49.0
1905-01-01,2730000.0,4250000.0,49.0
1905-01-01,2730000.0,4255000.0,46.0
1905-01-01,2730000.0,4260000.0,44.0
1905-01-01,2735000.0,4250000.0,41.0
1905-01-01,2735000.0,4255000.0,40.0
1905-01-01,2735000.0,4260000.0,40.0
1905-01-01,2740000.0,4250000.0,40.0
1905-01-01,2740000.0,4255000.0,40.0
1905-01-01,2740000.0,4260000.0,42.0
1905-02-01,2725000.0,4250000.0,27.0
1905-02-01,2725000.0,4255000.0,26.0
1905-02-01,2725000.0,4260000.0,26.0
1905-02-01,2730000.0,4250000.0,26.0
1905-02-01,2730000.0,4255000.0,26.0
1905-02-01,2730000.0,4260000.0,24.0
1905-02-01,2735000.0,4250000.0,22.0
1905-02-01,2735000.0,4255000.0,23.0
1905-02-01,2735000.0,4260000.0,23.0
1905-02-01,2740000.0,4250000.0,21.0
1905-02-01,2740000.0,4255000.0,23.0
1905-02-01,2740000.0,4260000.0,25.0
1905-03-01,2725000.0,4250000.0,95.0
1905-03-01,2725000.0,4255000.0,92.0
1905-03-01,2725000.0,4260000.0,88.0
1905-03-01,2730000.0,4250000.0,95.0
