time,lat,lon,fire_weather_index (fwi)
1979-01-01,50.0,11.0,3.4936094
1979-01-01,50.0,11.25,3.3543007
1979-01-01,50.0,11.5,3.314088
1979-01-01,50.0,11.75,3.299412
1979-01-01,50.0,12.0,3.269132
1979-01-01,50.0,12.25,3.2540526
1979-01-01,50.0,12.5,3.3493433
1979-01-01,50.0,12.75,3.5463707
1979-01-01,50.0,13.0,3.9268465
1979-01-01,50.0,13.25,4.1811743
1979-01-01,50.0,13.5,4.1235604
1979-01-01,50.0,13.75,3.950643
1979-01-01,50.0,14.0,4.00267
1979-01-01,50.0,14.25,4.3960667
1979-01-01,50.0,14.5,4.747852
1979-01-01,50.0,14.75,4.7812433
1979-01-01,50.0,15.0,4.6000166
1979-01-01,50.25,5.75,2.480733
1979-01-01,50.25,6.0,2.4741898
1979-01-01,50.25,6.25,2.5144248
1979-01-01,50.25,6.5,2.6526155
1979-01-01,50.25,6.75,2.8182187
1979-01-01,50.25,7.0,3.0123625
1979-01-01,50.25,7.25,3.1806028
1979-01-01,50.25,7.5,3.2156155
1979-01-01,50.25,7.75,3.202552
1979-01-01,50.25,8.0,3.133359
1979-01-01,50.25,8.25,3.2137086
1979-01-01,50.25,8.5,3.6841197
1979-01-01,50.25,8.75,4.1898
1979-01-01,50.25,9.0,4.474659
1979-01-01,50.25,9.25,4.1606083
1979-01-01,50.25,9.5,3.9347947
1979-01-01,50.25,9.75,3.9152522
1979-01-01,50.25,10.0,4.0970078
1979-01-01,50.25,10.25,4.248674
1979-01-01,50.25,10.5,4.28485
1979-01-01,50.25,10.75,4.304588
1979-01-01,50.25,11.0,4.2304826
1979-01-01,50.25,11.25,3.9294217
1979-01-01,50.25,11.5,3.565298
1979-01-01,50.25,11.75,3.2807155
1979-01-01,50.25,12.0,3.3173044
1979-01-01,50.25,12.25,3.449178
1979-01-01,50.25,12.5,3.5463586
1979-01-01,50.25,12.75,3.5271034
1979-01-01,50.25,13.0,3.7309456
1979-01-01,50.25,13.25,4.072728
1979-01-01,50.25,13.5,4.4826493
1979-01-01,50.25,13.75,4.614827
1979-01-01,50.25,14.0,4.688609
1979-01-01,50.25,14.25,4.8137484
1979-01-01,50.25,14.5,4.981656
1979-01-01,50.25,14.75,5.0517406
1979-01-01,50.25,15.0,5.059589
1979-01-01,50.5,5.75,2.4746237
1979-01-01,50.5,6.0,2.2220185
1979-01-01,50.5,6.25,1.9869195
1979-01-01,50.5,6.5,1.9620521
1979-01-01,50.5,6.75,2.131583
1979-01-01,50.5,7.0,2.4056168
1979-01-01,50.5,7.25,2.7117338
1979-01-01,50.5,7.5,2.9372134
1979-01-01,50.5,7.75,3.0457692
1979-01-01,50.5,8.0,3.0926776
1979-01-01,50.5,8.25,3.2076879
1979-01-01,50.5,8.5,3.4661536
1979-01-01,50.5,8.75,3.4939766
1979-01-01,50.5,9.0,3.2690234
1979-01-01,50.5,9.25,2.8043404
1979-01-01,50.5,9.5,2.570926
1979-01-01,50.5,9.75,2.5682898
1979-01-01,50.5,10.0,2.6984375
1979-01-01,50.5,10.25,2.8571386
1979-01-01,50.5,10.5,2.9566154
1979-01-01,50.5,10.75,3.0483482
1979-01-01,50.5,11.0,3.0140727
1979-01-01,50.5,11.25,3.014884
1979-01-01,50.5,11.5,3.022754
1979-01-01,50.5,11.75,3.0160758
1979-01-01,50.5,12.0,2.8712833
1979-01-01,50.5,12.25,2.7410393
1979-01-01,50.5,12.5,2.5806205
1979-01-01,50.5,12.75,2.4096255
1979-01-01,50.5,13.0,2.49437
1979-01-01,50.5,13.25,3.0518153
1979-01-01,50.5,13.5,4.1422467
1979-01-01,50.5,13.75,4.9919024
1979-01-01,50.5,14.0,5.480737
1979-01-01,50.5,14.25,5.569102
1979-01-01,50.5,14.5,5.696323
1979-01-01,50.5,14.75,5.6512666
1979-01-01,50.5,15.0,5.4937778
1979-01-01,50.75,5.75,3.326825
1979-01-01,50.75,6.0,3.1932902
1979-01-01,50.75,6.25,3.1946297
1979-01-01,50.75,6.5,3.3512783
1979-01-01,50.75,6.75,3.5657816
1979-01-01,50.75,7.0,3.4536126
1979-01-01,50.75,7.25,3.0572648
1979-01-01,50.75,7.5,2.6657145
1979-01-01,50.75,7.75,2.472724
1979-01-01,50.75,8.0,2.4871492
1979-01-01,50.75,8.25,2.6742878
1979-01-01,50.75,8.5,3.0635657
1979-01-01,50.75,8.75,3.3484445
1979-01-01,50.75,9.0,3.4593277
1979-01-01,50.75,9.25,3.379713
1979-01-01,50.75,9.5,3.2559762
1979-01-01,50.75,9.75,3.101022
1979-01-01,50.75,10.0,2.9569392
1979-01-01,50.75,10.25,2.845859
1979-01-01,50.75,10.5,2.697227
1979-01-01,50.75,10.75,2.5396476
1979-01-01,50.75,11.0,2.5125847
1979-01-01,50.75,11.25,2.8447905
1979-01-01,50.75,11.5,3.3261867
1979-01-01,50.75,11.75,3.7124977
1979-01-01,50.75,12.0,3.7339633
1979-01-01,50.75,12.25,3.643446
1979-01-01,50.75,12.5,3.3982887
1979-01-01,50.75,12.75,3.0915322
1979-01-01,50.75,13.0,2.7699966
1979-01-01,50.75,13.25,2.6449814
1979-01-01,50.75,13.5,2.7708
1979-01-01,50.75,13.75,3.0472863
1979-01-01,50.75,14.0,3.4111538
1979-01-01,50.75,14.25,3.770633
1979-01-01,50.75,14.5,4.026218
1979-01-01,50.75,14.75,3.8915987
1979-01-01,50.75,15.0,3.4106317
1979-01-01,51.0,5.75,3.799994
1979-01-01,51.0,6.0,3.927614
1979-01-01,51.0,6.25,4.123743
1979-01-01,51.0,6.5,4.173069
1979-01-01,51.0,6.75,3.919897
1979-01-01,51.0,7.0,3.367901
1979-01-01,51.0,7.25,2.6721702
1979-01-01,51.0,7.5,2.1338458
1979-01-01,51.0,7.75,1.8430374
1979-01-01,51.0,8.0,1.7522694
1979-01-01,51.0,8.25,1.8874757
1979-01-01,51.0,8.5,2.2778866
1979-01-01,51.0,8.75,2.7932234
1979-01-01,51.0,9.0,3.2336504
1979-01-01,51.0,9.25,3.353614
1979-01-01,51.0,9.5,3.3244824
1979-01-01,51.0,9.75,3.252108
1979-01-01,51.0,10.0,3.253268
1979-01-01,51.0,10.25,3.266451
1979-01-01,51.0,10.5,3.3816514
1979-01-01,51.0,10.75,3.6671371
1979-01-01,51.0,11.0,4.160051
1979-01-01,51.0,11.25,4.41464
1979-01-01,51.0,11.5,4.4179516
1979-01-01,51.0,11.75,4.198527
1979-01-01,51.0,12.0,4.352239
1979-01-01,51.0,12.25,4.596261
1979-01-01,51.0,12.5,4.886032
1979-01-01,51.0,12.75,4.856044
1979-01-01,51.0,13.0,4.496107
1979-01-01,51.0,13.25,3.9705975
1979-01-01,51.0,13.5,3.5916202
1979-01-01,51.0,13.75,3.5456994
1979-01-01,51.0,14.0,3.6478996
1979-01-01,51.0,14.25,3.7875016
1979-01-01,51.0,14.5,3.917033
1979-01-01,51.0,14.75,4.093724
1979-01-01,51.0,15.0,4.1295395
1979-01-01,51.25,5.75,3.5922143
1979-01-01,51.25,6.0,3.6019638
1979-01-01,51.25,6.25,3.5201745
